"STATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"US1NYDT0008","2025-01-05",,,"0.00","0.0",,,,,
"US1NYDT0008","2025-01-06",,,"0.00","0.0",,,,,
"US1NYDT0008","2025-01-07",,,"0.02","0.6",,,,,
"US1NYDT0008","2025-01-11",,,"0.03","0.5",,,,,
"US1NYDT0008","2025-01-12",,,"0.01","0.2","0.5",,,,
"USC00306376","2025-01-01",,,"0.41","0.0","0.0",,,,
"USC00306376","2025-01-02",,,"0.32","0.0","0.0",,,,
"USC00306376","2025-01-03",,,"0.56","5.3","5.0",,,,
"USC00306376","2025-01-04",,,"0.16","2.9","7.0",,,,
"USC00306376","2025-01-05",,,"0.44","7.8","15.0",,,,
"USC00306376","2025-01-06",,,"0.30","6.1","15.0",,,,
"USC00306376","2025-01-07",,,"0.16","5.1","15.0",,,,
"US1NYMR0015","2025-01-01",,,"0.06","0.0","0.0",,,,
"US1NYMR0015","2025-01-02",,,"0.00","0.0","0.0",,,,
"US1NYMR0015","2025-01-03",,,"0.00","0.0","0.0",,,,
"US1NYMR0015","2025-01-04",,,"0.11","1.6","0.0",,,,
"US1NYMR0015","2025-01-05",,,"0.00","0.0","0.0",,,,
"US1NYMR0015","2025-01-06",,,"0.06","1.6","1.0",,,,
"US1NYMR0015","2025-01-07",,,"0.07","2.6","2.0",,,,
"US1NYMR0015","2025-01-08",,,"0.01","0.2","1.0",,,,
"US1NYMR0015","2025-01-09",,,"0.00","0.0","1.0",,,,
"US1NYMR0015","2025-01-10",,,"0.02","0.2","2.0",,,,
"US1NYMR0015","2025-01-11",,,"0.00","0.0","0.0",,,,
"US1NYMR0015","2025-01-12",,,"0.00","0.0","1.0",,,,
"US1NYWS0008","2025-01-01",,,"0.21","0.0","0.0",,,,
"US1NYWS0008","2025-01-02",,,"0.02","0.0","0.0",,,,
"US1NYWS0008","2025-01-03",,,"0.00","0.0",,,,,
"US1NYWS0008","2025-01-06","    3","0.07",,,"2.0",,,,
"US1NYWS0008","2025-01-07",,,"0.00","0.0",,,,,
"US1NYOT0011","2025-01-01",,,"0.55","1.3","1.5",,,,
"US1NYOT0011","2025-01-02",,,"0.26","2.1","2.5",,,,
"US1NYOT0011","2025-01-03",,,"0.12","3.1","5.5",,,,
"US1NYOT0011","2025-01-04",,,"0.06","2.1","7.5",,,,
