STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
US1NYDT0035,"PLEASANT VALLEY 1.7 S, NY US",41.7237,-73.821,116.7
USW00054778,"PENN YAN AIRPORT, NY US",42.64405,-77.05286,267.4
US1NYER0096,"ELMA 2.7 WSW, NY US",42.8100395202637,-78.681266784668,254.5
USC00304952,"MACEDON, NY US",43.0731,-77.30196,142
US1NYDT0034,"HOPEWELL JUNCTION 2.8 NE, NY US",41.61016,-73.75855,103.6
US1NYDT0032,"MILLBROOK 2.5 NE, NY US",41.81,-73.659,232.6
US1NYRN0023,"WYANTSKILL 2.6 SW, NY US",42.663699,-73.687678,114
USC00305925,"NORTH CREEK 5 SE, NY US",43.6611,-73.8969,271.3
US1NYHR0018,"SALISBURY CENTER 1.8 NW, NY US",43.1626,-74.8088,423.4
US1NYRN0020,"TROY 2.1 NNE, NY US",42.759301,-73.65283,135.9
US1NYCN0002,"NORWICH 5.7 NE, NY US",42.583333,-75.433333,548.6
US1NYHR0016,"ILION 0.7 WSW, NY US",43.0088071,-75.0539063,160.9
US1NYER0098,"AMHERST 5.4 NNE, NY US",43.052068,-78.764317,176.8
USC00309292,"WEST POINT, NY US",41.3906,-73.9608,97.5
USC00300889,"BRIDGEHAMPTON, NY US",40.952,-72.2977,12.8
USW00054780,"MONTAUK AIRPORT, NY US",41.073056,-71.923505,2
US1NYSC0002,"SCOTIA 1.1 NW, NY US",42.844727,-73.974841,83.5
US1NYNG0030,"LOCKPORT 2.5 ESE, NY US",43.15207,-78.65338,195.7
USC00301974,"DANSVILLE, NY US",42.56477,-77.71762,201.2
US1NYNG0032,"RAPIDS 1.0 SW, NY US",43.0918,-78.6568,178.9
US1NYDT0037,"RHINEBECK 3.4 N, NY US",41.97735,-73.90559,75.9
USW00054787,"FARMINGDALE REPUBLIC AIRPORT, NY US",40.73443,-73.41637,22.8
US1NYRN0015,"TROY 0.7 E, NY US",42.735585,-73.662524,132.3
US1NYRN0013,"TROY 6.9 NE, NY US",42.79035,-73.56226,209.7
USC00304844,"LOCKPORT 4 E, NY US",43.18769,-78.60912,185.9
US1NYSC0017,"PATTERSONVILLE 4.2 SSW, NY US",42.831642,-74.115236,389.2
US1NYSC0016,"NISKAYUNA 2.0 N, NY US",42.846449,-73.899173,82.9
US1NYMR0078,"WEBSTER 4.8 W, NY US",43.20533,-77.51705,129.8
US1NYAB0010,"RENSSELAERVILLE 2.1 NNW, NY US",42.545481,-74.147484,488.3
US1NYCM0021,"ELMIRA 1.2 WNW, NY US",42.1021347045898,-76.8303680419922,284.1
