city,year,population
Bonham,2018,10321
Bonham,2019,10386
Bonney village,2010,310
Bonney village,2011,314
Bonney village,2012,320
Bonney village,2013,324
Bonney village,2014,334
Bonney village,2015,340
Bonney village,2016,347
Bonney village,2017,355
Bonney village,2018,365
Bonney village,2019,372
Booker,2010,1507
Booker,2011,1528
Booker,2012,1580
Booker,2013,1598
Booker,2014,1626
Booker,2015,1640
Booker,2016,1610
Booker,2017,1551
Booker,2018,1543
Booker,2019,1494
Borger,2010,13322
Borger,2011,13154
Borger,2012,13130
Borger,2013,13053
Borger,2014,13043
Borger,2015,12954
Borger,2016,12816
Borger,2017,12716
Borger,2018,12552
Borger,2019,12415
Bovina,2010,1865
Bovina,2011,1868
Bovina,2012,1854
Bovina,2013,1815
Bovina,2014,1816
Bovina,2015,1786
Bovina,2016,1789
Bovina,2017,1782
Bovina,2018,1792
Bovina,2019,1777
Bowie,2010,5217
Bowie,2011,5224
Bowie,2012,5101
Bowie,2013,5067
Bowie,2014,5059
Bowie,2015,5059
Bowie,2016,5042
Bowie,2017,5016
Bowie,2018,5060
Bowie,2019,5114
Boyd,2010,1212
Boyd,2011,1223
Boyd,2012,1233
Boyd,2013,1256
Boyd,2014,1283
Boyd,2015,1327
Boyd,2016,1359
Boyd,2017,1405
Boyd,2018,1464
Boyd,2019,1518
Brackettville,2010,1683
Brackettville,2011,1688
Brackettville,2012,1699
Brackettville,2013,1691
Brackettville,2014,1649
Brackettville,2015,1663
Brackettville,2016,1682
Brackettville,2017,1715
Brackettville,2018,1700
Brackettville,2019,1686
Brady,2010,5503
Brady,2011,5513
Brady,2012,5496
Brady,2013,5488
Brady,2014,5419
Brady,2015,5477
Brady,2016,5381
Brady,2017,5296
Brady,2018,5311
Brady,2019,5302
Brazoria,2010,3028
Brazoria,2011,3043
Brazoria,2012,3048
Brazoria,2013,3049
Brazoria,2014,3070
Brazoria,2015,3066
Brazoria,2016,3064
Brazoria,2017,3071
Brazoria,2018,3080
Brazoria,2019,3056
Brazos Bend,2010,310
Brazos Bend,2011,310
Brazos Bend,2012,314
Brazos Bend,2013,316
Brazos Bend,2014,319
Brazos Bend,2015,326
Brazos Bend,2016,333
